Title,Authors,Year,Venue
Problem-based learning: student perceptions of its value in developing professional skills for engineering practice,"Úna Beagon, Dervilla Niall, Eabhnat Ní Fhloinn",2019,European Journal of Engineering Education
Project work division in agile distributed student teams - who develops what?,"Ivana Bosnic, Igor Cavrak",2019,2019 ACM/IEEE 14th International Conference on Global Software Engineering (ICGSE)
Prototyping for internet of things with web technologies: a case on project-based learning using scrum,"Bahtijar Vogel, Bo Peterson, Blerim Emruli",2019,2019 IEEE 43rd Annual Computer Software and Applications Conference (COMPSAC)
"Relax, it’s a game: utilizing gamification in learning agile scrum software development","Nitin Naik, Paul Jenkins",2019,2019 IEEE Conference on Games (CoG)
Research and practice of applying adaptive learning in computer science and IT degree programs,"Yanzhen Qu, Richard Cai, Mazen Haj-Hussein",2019,2019 IEEE Frontiers in Education Conference (FIE)
Student assessment in a capstone computing course,"Charles C Tappert, Avery M Leider, Sukun Li",2019,Proceedings of the 49th Annual Meeting of the Southeast Decision Sciences Institute
Student engagement in active learning software engineering courses,"Bruce R. Maxim, Adrienne Decker, Jeffrey J. Yackley",2019,2019 IEEE Frontiers in Education Conference (FIE)
Students evaluation in AGILE after completing software engineering course,"Sabbir M. Saleh, Supta Richard Philip",2019,"2019 1st International Conference on Advances in Science, Engineering and Robotics Technology (ICASERT)"
Students perception on the use of project-based learning in software engineering education,"Maurício Souza, Renata Moreira, Eduardo Figueiredo",2019,Proceedings of the XXXIII Brazilian Symposium on Software Engineering
Teaching an undergraduate software engineering course using active learning and open source projects,"Mohsen Dorodchi, Erfan Al-Hossami, Mohammad Nagahisarchoghaei et al.",2019,2019 IEEE Frontiers in Education Conference (FIE)
Teaching generic competences in software engineering via E-learning,Marco Klopp,2019,"2019 IEEE International Conference on Engineering, Technology and Education (TALE)"
Teaching software engineering tools to undergraduate students,"Claudia Raibulet, Francesca Arcelli Fontana, Ilaria Pigazzini",2019,Proceedings of the 11th International Conference on Education Technology and Computers
Teaching software engineering with free open source software development: an experience report,"Anya Tafliovich, Francisco Estrada, Thomas Caswell",2019,Proceedings of the 52nd Hawaii International Conference on System Sciences (HICSS 2019)
Teaching software maintenance,"Keith Gallagher, Mark Fioravanti, Suzanne Kozaitis",2019,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)
"Teamwork attitudes, interest and self-efficacy between online and face-to-face information technology students","Abdullah Konak, Sadan Kulturel-Konak, Gordon W. Cheung",2019,Team Performance Management: An International Journal
The effect of preferred leadership role and preferred team leadership structure on students’ perception of team processes and outcome,"Behzad Beigpourian, Hossein EbrahimiNejad, Mathew W. Ohland et al.",2019,2019 IEEE Frontiers in Education Conference (FIE)
The “bachelor project”: project based computer science education,"Jan Renz, Christoph Meinel",2019,2019 IEEE Global Engineering Education Conference (EDUCON)
Towards a better understanding of team-driven dynamics in agile software projects: a characterization and visualization support in JIRA,"Fabian Kortum, Oliver Karras, Jil Klünder et al.",2019,Product-focused software process improvement
Training software engineers using open-source software: the students’ perspective,"Gustavo Pinto, Clarice Ferreira, Cleice Souza et al.",2019,2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Using CATME to document and improve the effectiveness of teamwork in capstone courses,"Behzad Beigpourian, Daniel M. Ferguson, Frederick C. Berry et al.",2019,2019 ASEE Annual Conference & Exposition
What did CS students recognize as study difficulties?,"Ville Hamalainen, Ville Isomottonen",2019,2019 IEEE Frontiers in Education Conference (FIE)
Work in progress: self-directed approach for project based learning activity,"Boon-Seng Chew, Chew-Lin Chia, Francis Teo",2019,2019 IEEE Global Engineering Education Conference (EDUCON)
A learning analytics tool for the analysis of students’ telegram messages in the context of teamwork virtual activities,"Miguel Á. Conde, Francisco J. Rodríguez-Sedano, Camino Fernández et al.",2020,Eighth International Conference on Technological Ecosystems for Enhancing Multiculturality
A methodology for psycho-biological assessment of stress in software engineering,"Jan-Peter Ostberg, Daniel Graziotin, Stefan Wagner et al.",2020,PeerJ Computer Science
A model of creativity based learning for computer teaching to enhance creative skills of undergraduate students,Nopparat Meeplat,2020,Proceedings of the 2020 the 3rd International Conference on Computers in Management and Business
A project-based learning approach for enhancing learning skills and motivation in software engineering,"Beatriz Pérez, Ángel L. Rubio",2020,Proceedings of the 51st ACM Technical Symposium on Computer Science Education
A transactive memory system perspective in software engineering education,"Georgia M. Kapitsaki, Styliani Loizou Kleanthous, George A. Papadopoulos",2020,IEEE Transactions on Education
Active and collaborative learning based dynamic instructional approach in teaching introductory computer science course with python programming,"Md Mahmudur Rahman, Monir H. Sharker, Roshan Paudel",2020,2020 IEEE Integrated STEM Education Conference (ISEC)
Assessing individual contributions to software engineering projects with git logs and user stories,Kevin Buffardi,2020,Proceedings of the 51st ACM Technical Symposium on Computer Science Education
Blended academic international mobility: tearing down barriers to mobility in a sustainable way,"Nuno Escudeiro, Ana Barata, Paula Escudeiro et al.",2020,2020 IEEE Global Engineering Education Conference (EDUCON)
"Building psychological safety through training interventions: manage the team, not just the project","Lisa Dusenberry, Joy Robinson",2020,IEEE Transactions on Professional Communication
Collaborative learning in computing education: faculty perspectives and practices,Sharon Mason,2020,Proceedings of the 2020 ACM Conference on International Computing Education Research
"Demonstrating the impact of international collaborative disciplinary experiences on student global, international, and intercultural competencies","M.S. Rob Elliott, Xiao Luo",2020,2020 IEEE Frontiers in Education Conference (FIE)
Differences in the students’ achievements between traditional and project-based learning of basic engineering competencies: a quasiexperimental study,"D. Purkovic, M. Prihoda",2020,"2020 43rd International Convention on Information, Communication and Electronic Technology (MIPRO)"
"Different perspectives on students’ presentation skills: teacher, peer, team and self-assessment",Sanja Candrlic,2020,2020 15th International Conference on Computer Science & Education (ICCSE)
Evaluating the benefits of team-based learning in a systems programming class,"Alark Joshi, Marissa Schmidt, Shane Panter et al.",2020,2020 IEEE Frontiers in Education Conference (FIE)
Experience report on key success factors for promoting students’ engagement in software development group projects,Ruth Schorr,2020,2020 IEEE World Conference on Engineering Education (EDUNINE)
Experiments with multinational cross-course project,"Mehul S Raval, Tolga Kaya, Mazad Zaveri et al.",2020,"2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)"
Exploiting group shuffling dynamics to convey the importance of good software design,"Jose I. Benedetto, Jaime Navon",2020,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Software Engineering Education and Training
"Impact of team formation method on student performance, attitudes, and behaviors","Martiqua L Post, Anthony Barrett, Marlyse Williams et al.",2020,Journal of the Scholarship of Teaching and Learning
Improving multidisciplinary understanding through interdisciplinary project-based learning in a first-year orientation course,"Megan McCormick, Jennifer Parham-Mocello, Donald Heer",2020,2020 IEEE Frontiers in Education Conference (FIE)
Investigating the impact and pedagogical implications of extroversion on team dynamics in post-secondary student teams,"James A. Coller, Robin R. Fowler, Laura K. Alford",2020,2020 IEEE Frontiers in Education Conference (FIE)
Involving IT professionals in scrum student teams: an empirical study on the impact of students’ learning,"Panagiotis K. Linos, Ryan Rybarczyk, Nathan Partenheimer",2020,2020 IEEE Frontiers in Education Conference (FIE)
Measure students’ contribution in web programming projects by exploring source code repository,"Bao-An Nguyen, Kuan-Yu Ho, Hsi-Min Chen",2020,2020 International Computer Symposium (ICS)
Measuring students’ contributions in software development projects using git metrics,"Sivana Hamer, Christian Quesada-Lopez, Alexandra Martinez et al.",2020,2020 XLVI Latin American Computing Conference (CLEI)
Moving to project-based learning at the program level: an experience report,"Isabel Sofia Brito, Joao Paulo Barros, Elsa Rodrigues",2020,2020 IEEE Global Engineering Education Conference (EDUCON)
Relation of individual time management practices and time management of teams,"Tapio Auvinen, Nickolas Falkner, Arto Hellas et al.",2020,2020 IEEE Frontiers in Education Conference (FIE)
Scrum higher education – the scrum master supports as solution-focused coach,"Martina Muller-Amthor, Georg Hagel, Matthias Gensheimer et al.",2020,2020 IEEE Global Engineering Education Conference (EDUCON)
Student feedback for globally distributed team application development,"David Drohan, Patrick Seeling",2020,2020 IEEE Frontiers in Education Conference (FIE)
Success factors of IT projects: undergraduate students perspective,"Muhammad Nazrul Islam, Anika Binte Islam",2020,2020 61st International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS)
Teaching agile software engineering practices using scrum and a lowcode development platform-a case study,"Jc Metrolho, Fr Ribeiro, P Passao",2020,Proceedings of the 15th Conference on Software Engineering Advances (pp. 160-165).
Teaching strategies in software engineering towards industry interview preparedness,"William Gregory Johnson, Raj Sunderraman, Anu G. Bourgeois",2020,Proceedings of the 9th Computer Science Education Research Conference
Teamwork challenges and solution strategies of first-semester engineering students,"A. Gorup, M. Grzunov, J. Petrovic et al.",2020,"2020 43rd International Convention on Information, Communication and Electronic Technology (MIPRO)"
The impact of collaborative group size on students’ achievement and product quality in project-based learning environments,"Ensaf Nasser Al Mulhim, Amany Ahmed Eldokhny",2020,International Journal of Emerging Technologies in Learning (iJET)
The impact of software team project measurements on students’ performance in software engineering education,"Bilal Al-Ahmad, Shadi Banitaan, Rami Alkhawaldeh",2020,Journal of Education and Practice
"The impact of undergraduate mentorship on student satisfaction and engagement, teamwork performance, and team dysfunction in a software engineering group project","Claudia Iacob, Shamal Faily",2020,Proceedings of the 51st ACM Technical Symposium on Computer Science Education
Toward an improvement of engineering teaming skills through an In-house professionalism course,"Mohammad Al-Abbas, Wissam Fawaz, Raymond Ghajar et al.",2020,IEEE Transactions on Education
Unreined students or not: modes of freedom in a project-based software engineering course,"Oystein Nytro, Anh Nguyen-Duc, Hallvard Tratteberg et al.",2020,2020 IEEE 32nd Conference on Software Engineering Education and Training (CSEE&T)
Using continuous peer evaluation in team-based engineering capstone projects: a case study,"Wilhelm A. Friess, Andrew J. Goupee",2020,IEEE Transactions on Education
Using GitHub in large software engineering classes. An exploratory case study,"Miroslav Tushev, Grant Williams, Anas Mahmoud",2020,Computer Science Education
Web-based teamwork: distributed software development course under covid-19,"Rui Zhang, Pedro Mestre, Carlos Serodio et al.",2020,2020 15th International Conference on Computer Science & Education (ICCSE)
Work in progress: fostering soft-skills of engineering students within scrum projects,"Galyna Lutsenko, Gregory Lucenko",2020,2020 IEEE Global Engineering Education Conference (EDUCON)
Working with others and enjoying it: CS1 students’ experience of small-group collaboration on a business simulation,Jyoti Bhardwaj,2020,2020 IEEE Frontiers in Education Conference (FIE)
A dev-ops practicum course for information technology majors,Adam Kaplan,2021,2021 International Conference on Computational Science and Computational Intelligence (CSCI)
A serious game for mobile phones used in a software engineering course: usability evaluation and educational effectiveness,"Semira Maria Evangelou, Georgia Stamoulakatou, Michalis Xenos",2021,2021 IEEE Global Engineering Education Conference (EDUCON)
Active learning methodologies in STEM degrees jeopardized by COVID19,"Alpha Pernia-Espinoza, Andres Sanz-Garcia, F. Javier Martinez-de-Pison-Ascacibar et al.",2021,2021 IEEE Global Engineering Education Conference (EDUCON)
An approach of project-based learning: bridging the gap between academia and industry needs in teaching integrated circuit design course,Xiaokun Yang,2021,IEEE Transactions on Education
An online educational hackathon to foster professional skills and intense collaboration on software engineering students,"Caio Steglich, Sabrina Marczak, Luiz Guerra et al.",2021,Proceedings of the XXXV Brazilian Symposium on Software Engineering
Analysis-design-justification (ADJ): a framework to develop problem-solving skills,"Ruben Acuña, Ajay Bansal",2021,2021 IEEE Global Engineering Education Conference (EDUCON)
ASEST framework: a proposal for improving teamwork by making cohesive software engineering student teams,"Daymy Tamayo Avila, Wim Van Petegem, Arno Libotton",2021,European Journal of Engineering Education
Assessment of a hybrid software development process for student projects: a controlled experiment,"Rafał Włodarski, Jean-Remy Falleri, Corinne Parvéry",2021,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
"Collaborative learning, self-efficacy, and student performance in CS1 POGIL","Aman Yadav, Chris Mayfield, Sukanya Kannan Moudgalya et al.",2021,Proceedings of the 52nd ACM Technical Symposium on Computer Science Education
Converting an undergrad-lab to an interactive E-learning experience that enables student teamwork,"Ferdinand Keil, David Riehl, Klaus Hofmann",2021,2021 IEEE Frontiers in Education Conference (FIE)
Design and supervision model of group projects for active learning,"Yi Meng Lau, Kyong Jin Shim, Swapna Gottipati",2021,2021 IEEE Frontiers in Education Conference (FIE)
Does self-efficacy correlate with positive emotion and academic performance in collaborative learning?,"Nasrin Dehbozorgi, Mary Lou Maher, Mohsen Dorodchi",2021,2021 IEEE Frontiers in Education Conference (FIE)
Encouraging compiler optimization practice for undergraduate students through competition,"Yu Zhang, Chunming Hu, Mingliang Zeng et al.",2021,Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education V. 1
Enhancing the student learning experience by adopting TDD and BDD in course projects,"Fabio Gomes Rocha, Layse Santos Souza, Thiciane Suely Silva et al.",2021,2021 IEEE Global Engineering Education Conference (EDUCON)
Enhancing the student perception on software project management in computer science,"Antonia Mas, Antoni-Lluis Mesquida, Ricardo Colomo-Palacio",2021,IEEE Transactions on Education
Experience of teaching a course on software engineering principles without a project,"Paul W. McBurney, Christian Murphy",2021,Proceedings of the 52nd ACM Technical Symposium on Computer Science Education
Experiences and insights from using GitHub Classroom to support project-based courses,"Maria Augusta Nelson, Lesandro Ponciano",2021,2021 Third International Workshop on Software Engineering Education for the Next Generation (SEENG)
Exploration of teammate trust and interaction dynamics in human-autonomy teaming,"Mustafa Demir, Nathan J. McNeese, Jaime C. Gorman et al.",2021,IEEE Transactions on Human-Machine Systems
Improving soft skills in agile software development by team leader rotation,"Jose Libreros, Ivan Viveros, Maria Trujillo et al.",2021,Proceedings of the Fifth International Congress on Information and Communication Technology
Improving student engagement with projectbased learning: a case study in software engineering,"Paula Morais, Maria Joao Ferreira, Bruno Veloso",2021,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje
Investigating student insight in software engineering team projects:,"Simona Motogna, Dan Suciu, Arthur-Jozsef Molnar",2021,Proceedings of the 16th International Conference on Evaluation of Novel Approaches to Software Engineering
Learning from team quizzes in CS2,"Yeajin Ham, Brandon Myers",2021,Proceedings of the 52nd ACM Technical Symposium on Computer Science Education
LEGO® serious play in software engineering education,"Daniel Lopez-Fernandez, Aldo Gordillo, Fernando Ortega et al.",2021,IEEE Access
Metacognitive challenges to support selfreflection of students in online software engineering education,"Daniela Pedrosa, Mario Madureira Fontes, Tania Araujo et al.",2021,2021 4th International Conference of the Portuguese Society for Engineering Education (CISPEE)
Online course on soft skills for global engineers,"Ksenia N. Volchenkova, Elena A. Zhezhera",2021,"2021 International Conference on Quality Management, Transport and Information Security, Information Technologies (IT&QM&IS)"
Scaffolding student success in the wilds of open source contribution,"Emily Lovell, James Davis",2021,2021 IEEE Frontiers in Education Conference (FIE)
SE-first: a new approach to software engineering education,"Colin Maly, Suzette Person, Leen-Kiat Soh",2021,2021 IEEE Frontiers in Education Conference (FIE)
Soft skills development in computer science students via multinational and multidisciplinary GameDev project,"Piotr Milczarski, Krzysztof Podlaski, Artur Hłobaż et al.",2021,Proceedings of the 52nd ACM Technical Symposium on Computer Science Education
"Software development methodologies, HEIs, and the digital economy","Kawther Saeedi, Anna Visvizi",2021,Education Sciences
Software engineering project-based learning in an up-to-date technological context,"Alejandro Adorjan, Martin Solari",2021,2021 IEEE URUCON
Student engagement in an online software engineering course,"Bruce R. Maxim, Thomas Limbaugh, Jeffrey J. Yackley",2021,2021 IEEE Frontiers in Education Conference (FIE)
Student perception of software engineering factors supported by machine learning,"Daniel Moritz Marutschke, Jeremy White, Uwe Serdult",2021,"2021 International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)"
Student perspectives on the purpose of peer evaluation during group game development projects,"Alexander Mitchell, Terry Greer, Warwick New et al.",2021,Proceedings of the 2021 Conference on United Kingdom &amp; Ireland Computing Education Research
Supporting real demands in software engineering with a four steps project-based learning approach,"Leonardo Humberto Silva, Renata Xavier Castro, Marice Costa Guimaraes",2021,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Teaching software engineering using abstraction through modeling,"Mohsen Dorodchi, Nasrin Dehbozorgi, Mohammadali Fallahian et al.",2021,Informatics in Education
Teaching the scrum master role using professional agile coaches and communities of practice,Maria Paasivaara,2021,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Teamwork with an automatic tutoring environment as learning strategy in programming courses,"Armandina J. Leal-Flores, Luis H. Gonzalez-Guerra",2021,2021 IEEE Global Engineering Education Conference (EDUCON)
The development and validation of a framework for teaching software engineering through startup practice in higher education,"Orges Cico, Anh Nguyen Duc, Letizia Jaccheri",2021,2021 IEEE Frontiers in Education Conference (FIE)
"The impact of programming project milestones on procrastination, project outcomes, and course outcomes: a quasi-experimental study in a third-year data structures course","Clifford A. Shaffer, Ayaan M. Kazerouni",2021,Proceedings of the 52nd ACM Technical Symposium on Computer Science Education
The implementation of project-based learning approach in technical courses: an investigation into students’ perceptions,"Anh Thi Van Pham, Thien Huu Tran",2021,Proceedings of the 5th International Conference on Advances in Artificial Intelligence
Undergraduate In-class research experience for computer architecture students,Muhittin Yilmaz,2021,2021 International Conference on Computational Science and Computational Intelligence (CSCI)
Using Experiential Learning to Improve Student Attitude and Learning Quality in Software Engineering Education,"Ferdinand Ndifor Che, Kenneth David Strang, Narasimha Rao Vajjhala",2021,International Journal of Innovative Teaching and Learning in Higher Education
Using git metrics to measure students’ and teams’ code contributions in software development projects,"Sivana Hamer, Christian Quesada-López, Alexandra Martínez et al.",2021,CLEI Electronic Journal
Using jungian personality types for teaching teamwork in a software engineering capstone course,"Vreda Pieterse, Sylvia Stuurman, Marko C.J.D. Van Eekelen",2021,Proceedings of the 52nd ACM Technical Symposium on Computer Science Education
Who does what? Work division and allocation strategies of computer science student teams,"Anna Van Der Meulen, Efthimia Aivaloglou",2021,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
WIP: engaging software engineering students in synchronous and asynchronous on-line course,"Bruce Maxim, Thomas Limbaugh",2021,2021 ASEE Virtual Annual Conference Content Access Proceedings
A learner-centered technique for collectively configuring inputs for an algorithmic team formation tool,"Emily M. Hastings, Sneha R. Krishna Kumaran, Karrie Karahalios et al.",2022,Proceedings of the 53rd ACM Technical Symposium on Computer Science Education - Volume 1
A longitudinal case study on the effects of an evidence-based software engineering training,"Sebastián Pizard, Diego Vallespir, Barbara Kitchenham",2022,2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
A three-year study on peer evaluation in a software engineering project course,"Miguel Ehecatl Morales-Trujillo, Matthias Galster, Fabian Gilson et al.",2022,IEEE Transactions on Education
Adapting hackathon-honed skills toward software engineering capstone,"Shawn Jordan, Cecilia La Place",2022,2022 ASEE Annual Conference & Exposition Proceedings
An eco-system approach to project-based learning in software engineering education,"Daniel Stahl, Kristian Sandahl, Lena Buffoni",2022,IEEE Transactions on Education
Analyzing students’ learning engagements using PLS-SEM: a case study in a small private online programming course,"Bilegjargal Daramsenge, Nien-Lin Hsueh, Lien-Chi Lai",2022,Proceedings of the 2022 6th International Conference on Education and E-Learning
Building the professional competence of future programmers using methods and tools of flexible development of software applications,"Olena G. Glazunova, Oleksandra V. Parkhomenko, Valentyna I. Korolchuk et al.",2022,Information Technologies and Learning Tools
Can pre-class github contributions predict success by student teams?,"Jialin Cui, Ruochi Li, Kaida Lou et al.",2022,2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Collaborative learning through PBL and virtual monitoring,"Sara Balderas-Diaz, Gabriel Guerrero-Contreras, M. Del Carmen De Castro-Cabrera",2022,2022 International Symposium on Computers in Education (SIIE)
Collaborative paradigm of teaching penetration testing using real-world university applications,"Sufatrio, Jan Vykopal, Ee-Chien Chang",2022,Proceedings of the 24th Australasian Computing Education Conference
Collaborative project-based training and learning through multidisciplinary undergraduate research,Amar Khoukhi,2022,2022 IEEE Frontiers in Education Conference (FIE)
Comparing team evaluation software (team+ and CATME),"Amber Kemppainen, Amy Hamlin, Matthew Barron et al.",2022,2022 IEEE Frontiers in Education Conference (FIE)
Department-wide multi-semester community engaged learning initiative to overcome common barriers to service-learning implementation,"Kathleen Timmerman, Michael Goldweber",2022,Proceedings of the 53rd ACM Technical Symposium on Computer Science Education
Developing 21st century skills with projectbased learning: an experience report in the introductory course of software engineering,"Sujitra Arwatchananukul, Pattariya Singpant, Nacha Chondamrongkul et al.",2022,"2022 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)"
Do teamwork guidelines improve peer assessment accuracy or attitudes during collaborative learning?,"Meixiu Lu, Ming Ming Chiu",2022,IEEE Transactions on Education
Educating reflective systems developers at scale: towards “productive feedback” in a semi-capstone large-scale software engineering course,Torgeir Dingsoyr,2022,2022 IEEE Frontiers in Education Conference (FIE)
Engagement contexts of software engineering education projects,"E. Moira Watson, David Cutting",2022,2022 31st Annual Conference of the European Association for Education in Electrical and Information Engineering (EAEEIE)
Enhancing the quality and student attitude on capstone projects through activity-based learning and reduced social loafing,"Uthpala Samarakoon, Kalpani Manathunga, Asanthika Imbulpitiya",2022,Computer supported education
Exploring student challenges in an online project-based course,"Simona Motogna, Dan Mircea Suciu, Arthur-Jozsef Molnar",2022,2022 IEEE/ACM First International Workshop on Designing and Running Project-Based Courses in Software Engineering Education (DREE)
From undergraduate (software) capstone projects to start-ups: challenges and opportunities in higher institutions of learning,"Daniel Ogenrwot, Geoffrey Olok Tabo, Kevin Aber et al.",2022,Proceedings of the Federated Africa and Middle East Conference on Software Engineering
Gender influence on communication initiated within student teams,"Rita Garcia, Chieh-Ju Liao, Ariane Pearce et al.",2022,Proceedings of the 53rd ACM Technical Symposium on Computer Science Education - Volume 1
Improving soft skills based on students’ traces in problem-based learning environments,"Houda Tadjer, Yacine Lafifi, Hassina Seridi-Bouchelaghem et al.",2022,Interactive Learning Environments
Improving teamwork in agile software engineering education: the ASEST+ framework,"Daymy Tamayo Avila, Wim Van Petegem, Monique Snoeck",2022,IEEE Transactions on Education
Incorporating global learning perspectives in a freshman computing curriculum,"Shamima Mithun, Nancy Goldfarb",2022,2022 IEEE Frontiers in Education Conference (FIE)
Information technologies as a tool for bachelor’s engineering teamwork skills development,"Anna M. Markus, Lada N. Ovinova, Elena G. Shraiber et al.",2022,"2022 International Conference on Quality Management, Transport and Information Security, Information Technologies (IT&QM&IS)"
Integrating hackathons into an online cybersecurity course,"Abasi-amefon Obot Affia, Alexander Nolte, Raimundas Matulevičius",2022,2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Integrating hackathons into an online cybersecurity course,"Abasi-Amefon Obot Affia, Alexander Nolte, Raimundas Matulevicius",2022,2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Learning communication skills in software development management courses: an active learning experience,"Carlos Fontela, Gonzalo Damian Santos",2022,2022 IEEE Biennial Congress of Argentina (ARGENCON)
Learning CS subjects of professional software development and team projects,"Yu Chyi Chan, Chian Min Gan, Chun Yu Lim et al.",2022,"2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)"
Learning experiences and analysis in professional software development subject,"Madeline Jia Qi Thong, Arico Qi Xian Yau, Sida Andy Goh et al.",2022,"2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)"
Learning soft skills through distributed software development,"Emily Laue Christensen, Maria Paasivaara",2022,Proceedings of the International Conference on Software and System Processes and International Conference on Global Software Engineering
On competence and virtue in engineering and computing education,"Stephen Frezza, Mani Mina",2022,2022 IEEE Frontiers in Education Conference (FIE)
Operationalizing team commitment in a projectbased learning environment,"Aparajita Jaiswal, Tugba Karabiyik, Paul Thomas et al.",2022,2022 IEEE Frontiers in Education Conference (FIE)
Optimize matching for project team members in practice course based on extenics,"Ruoyan Wei, Xiaojuan Li, Weijie Wang et al.",2022,"2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)"
"Perceived scrum values, conflict resolution ability, and cultural self-awareness among system design and analysis students","A. Jaiswal, K. Patel, D. Patel et al.",2022,ASEE Annual Conference proceedings
Piloting the learning by development action model pedagogy in UK HEIs,"Taina Lintilä, Mark Zarb",2022,2022 IEEE Frontiers in Education Conference (FIE)
Refining a risk framework for student group projects,"Diana Kirk, Andrew Luxton-Reilly, Ewan Tempero",2022,Proceedings of the 22nd Koli Calling International Conference on Computing Education Research
Reform of active pedagogy in the age of covid,"Faten Ziadi, Naouel Boughattas, Wissal Neji",2022,2022 IEEE Global Engineering Education Conference (EDUCON)
SCRUM applied to problem-based learning: a hybrid model for managing the teaching-learning process,"Sam Da Silva Devincenzi, Viviani Rios Kwecko, Alessandro De Lima Bicho et al.",2022,2022 IEEE Frontiers in Education Conference (FIE)
"Software engineering, bridging theory and practice in an agile learning environment","Dena Hussain, Linda Söderlindh",2022,2022 IEEE Global Engineering Education Conference (EDUCON)
Student engagement in software engineering group projects: an action research study,"Yue Li, Soon Phei Tin, Charlie Reis",2022,Proceedings of the 2022 5th International Conference on Education Technology Management
Student-sponsored projects in a capstone course: reflections and lessons learned,"Ethan Bütt, Suzette Person, Christopher Bohn",2022,Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Software Engineering Education and Training
Student-sponsored projects in a capstone course: reflections and lessons learned,"Ethan Butt, Suzette Person, Christopher Bohn",2022,2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Students’ feedback about their experiences in EPICS using natural language processing,"Isil Anakok, Johnny Woods, Mark Huerta et al.",2022,2022 IEEE Frontiers in Education Conference (FIE)
Supporting peripheral perception in distributed teams by enforced exposure to chat messages,"Miroslav Novotny, Valentino Vranic",2022,IEEE Transactions on Human-Machine Systems
Teaching agile in an agile way: a case from the first iteration in a university,"Necmettin Ozkan, Ozden Ozcan-Top, Sevval Bal et al.",2022,2022 3rd International Informatics and Software Engineering Conference (IISEC)
Teaching agile operation and leadership through linked university courses,Enikő Ilyés,2022,Teaching Mathematics and Computer Science
Teaching software engineering as programming over time,"Markus Hofbauer, Christoph Bachhuber, Christopher Kuhn et al.",2022,Proceedings of the 4th International Workshop on Software Engineering Education for the Next Generation
Team building elements and their importance according to STEAM students,"Karla Krasnic, Petra Zigman, Tihana Babic",2022,"2022 45th Jubilee International Convention on Information, Communication and Electronic Technology (MIPRO)"
Team formation on the basis of belbin’s roles to enhance students’ performance in project based learning,"A. Aranzabal, E. Epelde, M. Artetxe",2022,Education for Chemical Engineers
"Team harmony before, during, and after COVID19","Noa Heyl, Elisa Baniassad, Oluwakemi Ola",2022,Proceedings of the 2022 ACM SIGPLAN International Symposium on SPLASH-E
The impact and measurement of today’s learning technologies in teaching software engineering course using design-based learning and project-based learning,Chetna Gupta,2022,IEEE Transactions on Education
"Understanding students’ software development projects: effort, performance, satisfaction, skills and their relation to the adequacy of outcomes developed","Sherlock A. Licorish, Matthias Galster, Georgia M. Kapitsaki et al.",2022,Journal of Systems and Software
Using design-based research to layer career-like experiences onto software development courses,"Christine Bakke, Rena Sakai",2022,Journal of Information Technology Education: Innovations in Practice
Using process mining to understand students’ and teams’ dynamics,"Pasquale Ardimento, Mario Luca Bernardi, Marta Cimitile",2022,Higher education learning methodologies and technologies online
What makes team[s] work? A study of team characteristics in software engineering projects,"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee",2022,Proceedings of the 2022 ACM Conference on International Computing Education Research - Volume 1
Who engaged in the team-based assessment? Leveraging EdTech for a self and intra-team peer-assessment solution to free-riding,"Tiffany K. Gunning, Xavier A. Conlan, Paul K. Collins et al.",2022,International Journal of Educational Technology in Higher Education
20 years of EPICS at butler university: experiences and lessons learned,"Lucas Johnson, Panagiotis Linos",2023,2023 IEEE Frontiers in Education Conference (FIE)
